Timestamp  ipogif0 lo 
 1626147374 744286021 695367 
 1626147375 744286021 695367 
 1626147376 744286021 695367 
 1626147377 744286021 695367 
 1626147378 744286021 695367 
 1626147379 744286021 695367 
 1626147380 744286021 695367 
 1626147381 744286021 695367 
 1626147382 744286021 695367 
 1626147383 744286021 695367 
 1626147385 744286021 695367 
 1626147386 744286021 695367 
 1626147387 744286021 695367 
 1626147388 744286021 695367 
 1626147389 744286021 695367 
 1626147390 744286021 695367 
 1626147391 744286021 695367 
 1626147392 744286021 695367 
 1626147393 744286021 695367 
 1626147394 744286021 695367 
 1626147395 744286021 695367 
 1626147396 744286021 695367 
 1626147397 744286021 695367 
 1626147398 744286021 695367 
 1626147399 744286021 695367 
 1626147400 744286021 695367 
 1626147401 744286021 695367 
 1626147402 744286021 695367 
 1626147403 744286021 695367 
 1626147404 744286021 695367 
 1626147405 744286021 695367 
 1626147406 744286021 695367 
 1626147407 744286021 695367 
 1626147408 744286021 695367 
 1626147409 744286021 695367 
 1626147410 744286021 695367 
 1626147411 744286021 695367 
 1626147412 744286021 695367 
 1626147414 744286021 695367 
 1626147415 744286021 695367 
 1626147416 744286021 695367 
 1626147417 744286021 695367 
 1626147418 744286021 695367 
 1626147419 744286021 695367 
 1626147420 744286021 695367 
 1626147421 744286021 695367 
 1626147422 744286021 695367 
 1626147423 744286021 695367 
 1626147424 744286021 695367 
 1626147425 744286021 695367 
 1626147426 744286021 695367 
 1626147427 744286021 695367 
 1626147428 744286021 695367 
 1626147429 744286021 695367 
 1626147430 744286021 695367 
 1626147431 744286021 695367 
 1626147432 744286021 695367 
 1626147433 744286021 695367 
 1626147434 744286021 695367 
 1626147435 744286021 695367 
 1626147437 744286021 695367 
 1626147438 744286021 695367 
 1626147439 744286021 695367 
 1626147440 744286021 695367 
 1626147441 744286021 695367 
 1626147442 744286021 695367 
 1626147443 744286021 695367 
 1626147444 744286021 695367 
 1626147445 744286021 695367 
 1626147446 744286021 695367 
 1626147447 744286021 695367 
 1626147448 744286021 695367 
 1626147449 744286021 695367 
 1626147450 744286021 695367 
 1626147451 744286021 695367 
